ts,venue,coin,mid
1781260200.0,hyperliquid,BTC,63648.0
1781261100.0,hyperliquid,BTC,63667.0
1781262000.0,hyperliquid,BTC,63804.0
1781262900.0,hyperliquid,BTC,63804.0
1781263800.0,hyperliquid,BTC,63765.0
1781264700.0,hyperliquid,BTC,63724.0
1781265600.0,hyperliquid,BTC,63590.0
1781266500.0,hyperliquid,BTC,63431.0
1781267400.0,hyperliquid,BTC,63401.0
1781268300.0,hyperliquid,BTC,63429.0
1781269200.0,hyperliquid,BTC,63454.0
1781270100.0,hyperliquid,BTC,63371.0
1781271000.0,hyperliquid,BTC,63106.0
1781271900.0,hyperliquid,BTC,63215.0
1781272800.0,hyperliquid,BTC,63418.0
1781273700.0,hyperliquid,BTC,63610.0
1781274600.0,hyperliquid,BTC,63474.0
1781275500.0,hyperliquid,BTC,63969.0
1781276400.0,hyperliquid,BTC,64345.0
1781277300.0,hyperliquid,BTC,64110.0
1781278200.0,hyperliquid,BTC,63872.0
1781279100.0,hyperliquid,BTC,63575.0
1781280000.0,hyperliquid,BTC,63843.0
1781280900.0,hyperliquid,BTC,63880.0
1781281800.0,hyperliquid,BTC,63824.0
1781282700.0,hyperliquid,BTC,63957.0
1781283600.0,hyperliquid,BTC,63887.0
1781284500.0,hyperliquid,BTC,63806.0
1781285400.0,hyperliquid,BTC,63805.0
1781286300.0,hyperliquid,BTC,63841.0
1781287200.0,hyperliquid,BTC,63801.0
1781288100.0,hyperliquid,BTC,63757.0
1781289000.0,hyperliquid,BTC,63845.0
1781289900.0,hyperliquid,BTC,63670.0
1781290800.0,hyperliquid,BTC,63682.0
1781291700.0,hyperliquid,BTC,63708.0
1781292600.0,hyperliquid,BTC,63629.0
1781293500.0,hyperliquid,BTC,63567.0
1781294400.0,hyperliquid,BTC,63605.0
1781295300.0,hyperliquid,BTC,63503.0
1781296200.0,hyperliquid,BTC,63500.0
1781297100.0,hyperliquid,BTC,63438.0
1781298000.0,hyperliquid,BTC,63587.0
1781298900.0,hyperliquid,BTC,63493.0
1781299800.0,hyperliquid,BTC,63519.0
1781300700.0,hyperliquid,BTC,63460.0
1781301600.0,hyperliquid,BTC,63492.0
1781302500.0,hyperliquid,BTC,63589.0
1781303400.0,hyperliquid,BTC,63489.0
1781304300.0,hyperliquid,BTC,63497.0
1781305200.0,hyperliquid,BTC,63448.0
1781306100.0,hyperliquid,BTC,63434.0
1781307000.0,hyperliquid,BTC,63496.0
1781307900.0,hyperliquid,BTC,63561.0
1781308800.0,hyperliquid,BTC,63574.0
1781309700.0,hyperliquid,BTC,63509.0
1781310600.0,hyperliquid,BTC,63570.0
1781311500.0,hyperliquid,BTC,63584.0
1781312400.0,hyperliquid,BTC,63640.0
1781313300.0,hyperliquid,BTC,63647.0
1781314200.0,hyperliquid,BTC,63741.0
1781315100.0,hyperliquid,BTC,63813.0
1781316000.0,hyperliquid,BTC,63777.0
1781316900.0,hyperliquid,BTC,63702.0
1781317800.0,hyperliquid,BTC,63606.0
1781318700.0,hyperliquid,BTC,63625.0
1781319600.0,hyperliquid,BTC,63644.0
1781320500.0,hyperliquid,BTC,63488.0
1781321400.0,hyperliquid,BTC,63472.0
1781322300.0,hyperliquid,BTC,63510.0
1781323200.0,hyperliquid,BTC,63488.0
1781324100.0,hyperliquid,BTC,63513.0
1781325000.0,hyperliquid,BTC,63601.0
1781325900.0,hyperliquid,BTC,63481.0
1781326800.0,hyperliquid,BTC,63535.0
1781327700.0,hyperliquid,BTC,63533.0
1781328600.0,hyperliquid,BTC,63553.0
1781329500.0,hyperliquid,BTC,63563.0
1781330400.0,hyperliquid,BTC,63558.0
1781331300.0,hyperliquid,BTC,63659.0
1781332200.0,hyperliquid,BTC,63658.0
1781333100.0,hyperliquid,BTC,63710.0
1781334000.0,hyperliquid,BTC,63703.0
1781334900.0,hyperliquid,BTC,63759.0
1781335800.0,hyperliquid,BTC,63817.0
1781336700.0,hyperliquid,BTC,63829.0
1781337600.0,hyperliquid,BTC,63777.0
