ts,rate
1783468800.001,1.25e-05
1783472400.064,1.25e-05
1783476000.004,1.25e-05
1783479600.071,1.25e-05
1783483200.037,1.25e-05
1783486800.031,1.25e-05
1783490400.06,1.25e-05
1783494000.053,1.25e-05
1783497600.05,1.25e-05
1783501200.088,1.25e-05
1783504800.012,1.25e-05
1783508400.026,1.25e-05
1783512000.007,1.25e-05
1783515600.036,1.25e-05
